epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5692,1.89369,4.08293,0.00676,0.8778,0.0874,0.09195,0.05783,1.68131,2.53996,0.00642,0.000413486,0.000413486,0.000413486
2,97.8445,1.75204,2.77817,0.00554,0.83852,0.10488,0.11512,0.06544,1.5897,2.24557,0.00594,0.000809606,0.000809606,0.000809606
3,128.311,1.69276,2.41822,0.00505,0.9064,0.11504,0.14954,0.10121,1.53283,1.91054,0.00573,0.0011851,0.0011851,0.0011851
4,158.868,1.63246,2.1186,0.00467,0.90517,0.12683,0.14407,0.09298,1.39492,1.66302,0.00499,0.00115719,0.00115719,0.00115719
5,189.271,1.56732,1.98039,0.00461,0.92682,0.12474,0.2168,0.1413,1.35826,1.4886,0.00517,0.00112625,0.00112625,0.00112625
6,220.145,1.56771,1.84707,0.0043,0.92186,0.13858,0.16908,0.10743,1.39597,1.45528,0.00504,0.00109531,0.00109531,0.00109531
7,250.546,1.54159,1.74989,0.00431,0.91083,0.14309,0.20051,0.12475,1.36979,1.3849,0.00472,0.00106437,0.00106437,0.00106437
8,280.742,1.50099,1.67637,0.00422,0.42387,0.14024,0.16308,0.10904,1.30293,1.39168,0.00437,0.00103344,0.00103344,0.00103344
9,311.405,1.50013,1.61829,0.00407,0.9245,0.13862,0.16656,0.11592,1.2984,1.35819,0.00475,0.0010025,0.0010025,0.0010025
10,341.797,1.47475,1.54845,0.00413,0.91729,0.15294,0.1767,0.11765,1.27224,1.30677,0.00427,0.000971562,0.000971562,0.000971562
11,372.104,1.48665,1.505,0.00401,0.9166,0.15104,0.1782,0.11941,1.30277,1.33139,0.00452,0.000940625,0.000940625,0.000940625
12,402.306,1.45462,1.44114,0.00382,0.9332,0.13984,0.2832,0.17997,1.28587,1.26893,0.00444,0.000909688,0.000909688,0.000909688
13,433.06,1.42545,1.41532,0.00381,0.92055,0.16016,0.26299,0.17076,1.30924,1.24069,0.00524,0.00087875,0.00087875,0.00087875
14,464.213,1.42964,1.4098,0.00384,0.9243,0.15772,0.21647,0.14109,1.31431,1.23971,0.00462,0.000847813,0.000847813,0.000847813
15,495.146,1.40022,1.35879,0.00379,0.89665,0.16829,0.23801,0.15794,1.3451,1.28014,0.00471,0.000816875,0.000816875,0.000816875
16,526.682,1.41557,1.3278,0.00404,0.86391,0.18577,0.25025,0.17373,1.24931,1.22002,0.00434,0.000785938,0.000785938,0.000785938
17,557.414,1.38377,1.30364,0.00376,0.78824,0.18232,0.26729,0.17869,1.24132,1.19684,0.00429,0.000755,0.000755,0.000755
18,587.86,1.38511,1.30299,0.00363,0.92709,0.16094,0.27492,0.17693,1.23516,1.17434,0.0041,0.000724062,0.000724062,0.000724062
19,618.31,1.37738,1.28163,0.0037,0.80095,0.18862,0.26083,0.17644,1.21572,1.16499,0.00426,0.000693125,0.000693125,0.000693125
20,649.032,1.37497,1.26098,0.00375,0.43892,0.26631,0.29685,0.20983,1.31933,1.11931,0.00465,0.000662188,0.000662188,0.000662188
21,680.084,1.38315,1.26575,0.00367,0.60533,0.28591,0.30812,0.21375,1.2461,1.12697,0.00438,0.00063125,0.00063125,0.00063125
22,710.958,1.3962,1.2218,0.00352,0.52815,0.26748,0.29803,0.20927,1.24546,1.11092,0.00454,0.000600313,0.000600313,0.000600313
23,741.434,1.37834,1.21733,0.00349,0.63484,0.28465,0.29997,0.20549,1.22557,1.11538,0.00406,0.000569375,0.000569375,0.000569375
24,772.313,1.37505,1.20975,0.0034,0.60508,0.30427,0.29131,0.19876,1.20313,1.07144,0.00404,0.000538438,0.000538438,0.000538438
25,802.774,1.34222,1.20959,0.00361,0.71184,0.28217,0.30299,0.20147,1.27387,1.10286,0.00395,0.0005075,0.0005075,0.0005075
26,833.281,1.35211,1.17141,0.00345,0.32424,0.30856,0.29517,0.19961,1.1856,1.06957,0.00411,0.000476562,0.000476562,0.000476562
27,864.177,1.34987,1.1642,0.0035,0.30964,0.34359,0.30718,0.21227,1.21198,1.06891,0.00407,0.000445625,0.000445625,0.000445625
28,894.905,1.36197,1.17066,0.00344,0.40287,0.33674,0.32357,0.21973,1.21746,1.07505,0.00387,0.000414688,0.000414688,0.000414688
29,926.303,1.33414,1.14493,0.00327,0.48611,0.33846,0.33861,0.23259,1.19309,1.05861,0.0038,0.00038375,0.00038375,0.00038375
30,957.205,1.30015,1.14813,0.0034,0.3752,0.35929,0.32427,0.22664,1.21097,1.0596,0.00393,0.000352812,0.000352812,0.000352812
31,983.846,1.26405,1.09282,0.00373,0.39438,0.36158,0.31469,0.22151,1.19187,1.08745,0.00402,0.000321875,0.000321875,0.000321875
32,1009.67,1.25739,1.06409,0.00358,0.38369,0.35549,0.32147,0.22035,1.24481,1.08595,0.00399,0.000290937,0.000290937,0.000290937
33,1036.28,1.22445,1.041,0.00339,0.38888,0.42249,0.33368,0.23911,1.19309,1.06056,0.0042,0.00026,0.00026,0.00026
34,1063.37,1.21299,1.02461,0.0034,0.43637,0.32331,0.33256,0.22863,1.22576,1.07016,0.00392,0.000229063,0.000229063,0.000229063
35,1090.59,1.22052,1.02136,0.00339,0.42817,0.38108,0.33916,0.23644,1.1759,1.0399,0.00389,0.000198125,0.000198125,0.000198125
36,1117.39,1.22512,1.02218,0.00324,0.38905,0.39613,0.35735,0.25511,1.19372,1.03782,0.00394,0.000167188,0.000167188,0.000167188
37,1144.7,1.19294,1.00163,0.00319,0.4203,0.39358,0.33883,0.23574,1.18059,1.02491,0.004,0.00013625,0.00013625,0.00013625
38,1173.82,1.20554,1.00797,0.00322,0.42534,0.39236,0.34161,0.23857,1.16519,1.02053,0.00392,0.000105312,0.000105312,0.000105312
39,1203.07,1.19619,1.00278,0.00329,0.44299,0.39196,0.33974,0.23729,1.18626,1.0327,0.00399,7.4375e-05,7.4375e-05,7.4375e-05
40,1233.1,1.19033,0.98455,0.00315,0.45112,0.39196,0.3382,0.23582,1.19492,1.03187,0.00399,4.34375e-05,4.34375e-05,4.34375e-05
